name,description_semantique,ingredients,instructions,category,difficulty,prep_time,taste_profile
Paradise de Capri,"Ce cocktail intense revisite les classiques avec Tequila blanco, Jus de grenade et Malibu. Sensation complexe avec des accents de citrus. Une experience sensorielle.","[""45ml Tequila blanco"", ""90ml Jus de grenade"", ""15ml Malibu"", ""Tranche d'ananas"", ""Glacons""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir avec tranche d'ananas,Refreshing,Moyen,6,"{""Douceur"": 4.1, ""Acidite"": 2.5, ""Amertume"": 2.8, ""Force"": 3.8, ""Fraicheur"": 1.6}"
Cancun Oriental,Le caractere du Tequila reposado s'exprime pleinement avec Nectar de peche et Triple Sec dans ce cocktail digestif. Palette aromatique riche en boise et fruit. Moment d'exception.,"[""50ml Tequila reposado"", ""90ml Nectar de peche"", ""20ml Triple Sec"", ""Tranche d'ananas"", ""Glacons"", ""Sel de celeri""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir avec tranche d'ananas,Digestif,Facile,7,"{""Douceur"": 4.3, ""Acidite"": 1.5, ""Amertume"": 2.8, ""Force"": 4.4, ""Fraicheur"": 1.7}"
Vienna Smash,Une creation audacieux ou le Rhum ambre dialogue avec Jus d'ananas. Triple Sec orchestre cette rencontre. Bouquet de boise evoluant vers orange. Emotion intense garantie.,"[""45ml Rhum ambre"", ""45ml Jus d'ananas"", ""15ml Triple Sec"", ""Olive verte""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir selon votre preference,Tropical,Facile,8,"{""Douceur"": 4.0, ""Acidite"": 1.6, ""Amertume"": 2.1, ""Force"": 4.5, ""Fraicheur"": 2.4}"
Marrakech Fresh,"Un cocktail sophistique a base de Cachaca, melange avec Nectar de peche et rehausse de Grand Marnier. Bouquet de vegetal evoluant vers vegetal. Parfait pour les soirees elegantes.","[""45ml Cachaca"", ""30ml Nectar de peche"", ""30ml Grand Marnier"", ""Cerise au marasquin"", ""Glacons""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir avec cerise au marasquin,Tiki,Facile,6,"{""Douceur"": 3.3, ""Acidite"": 1.5, ""Amertume"": 2.3, ""Force"": 4.3, ""Fraicheur"": 3.4}"
Twilight de Rio,Le caractere du Brandy s'exprime pleinement avec Jus de cranberry et Benedictine dans ce cocktail tiki. Bouquet de chaleureux evoluant vers chaleureux. Moment de partage.,"[""45ml Brandy"", ""90ml Jus de cranberry"", ""20ml Benedictine"", ""Zeste de pamplemousse"", ""Glacons""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir avec zeste de pamplemousse,Tiki,Moyen,5,"{""Douceur"": 2.9, ""Acidite"": 2.6, ""Amertume"": 2.2, ""Force"": 4.3, ""Fraicheur"": 2.3}"
Dusk de Venice,Harmonie audacieux entre Whisky irlandais vigoureux et Jus de passion delicat. Benedictine ajoute la note parfaite. Palette aromatique riche en doux et tropical. Pour les amateurs de saveurs authentiques.,"[""45ml Whisky irlandais"", ""60ml Jus de passion"", ""15ml Benedictine"", ""Noix de muscade rapee""]",1. Verser le premier ingredient au fond du verre 2. Utiliser le dos d'une cuillere pour superposer chaque couche 3. Proceder lentement pour preserver les couches distinctes 5. Garnir selon votre preference,Digestif,Facile,6,"{""Douceur"": 3.7, ""Acidite"": 2.6, ""Amertume"": 2.3, ""Force"": 4.3, ""Fraicheur"": 1.7}"
Santorini Cuban,"Tequila reposado forme la base de ce cocktail equilibre, enrichi par Jus de cranberry et Sirop de grenadine. Sensation rafraichissante avec des accents de vanille. Une experience exceptionnelle a chaque gorgee.","[""45ml Tequila reposado"", ""30ml Jus de cranberry"", ""25ml Sirop de grenadine"", ""Quartier de fraise"", ""Glacons"", ""Eau petillante""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir selon votre preference,Digestif,Moyen,4,"{""Douceur"": 3.9, ""Acidite"": 2.7, ""Amertume"": 1.6, ""Force"": 4.6, ""Fraicheur"": 1.9}"
Delight de Hong Kong,Harmonie rafraichissant entre Gin vigoureux et Ginger beer delicat. Creme de menthe ajoute une touche finale. Attaque franche suivie de notes de genievre. Pour les amateurs de saveurs authentiques.,"[""60ml Gin"", ""60ml Ginger beer"", ""30ml Creme de menthe"", ""Lamelle de gingembre"", ""Glacons""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir selon votre preference",Refreshing,Moyen,6,"{""Douceur"": 3.4, ""Acidite"": 1.5, ""Amertume"": 2.0, ""Force"": 4.3, ""Fraicheur"": 2.8}"
The Coastal Tale,Decouvrez ce cocktail convivial ou le Brandy rencontre le Jus d'ananas dans une danse de saveurs. Sirop simple apporte la touche finale. Profil gustatif marque par fruit et une touche de rond.,"[""50ml Brandy"", ""60ml Jus d'ananas"", ""20ml Sirop simple"", ""Rondelle de citron vert"", ""Angostura bitters""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir avec rondelle de citron vert,Tropical,Difficile,6,"{""Douceur"": 5.0, ""Acidite"": 1.6, ""Amertume"": 1.6, ""Force"": 4.2, ""Fraicheur"": 1.6}"
Wave de Bangkok,Cocktail tiki equilibre celebrant Rhum brun dans toute sa splendeur. Jus de raisin et Grand Marnier completent l'ensemble. Profil gustatif marque par profond et une touche de profond.,"[""45ml Rhum brun"", ""90ml Jus de raisin"", ""30ml Grand Marnier"", ""Lamelle de gingembre"", ""Glacons""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir selon votre preference",Tiki,Facile,7,"{""Douceur"": 3.6, ""Acidite"": 1.7, ""Amertume"": 2.9, ""Force"": 4.4, ""Fraicheur"": 2.9}"
Bold Breeze,Le caractere du Brandy s'exprime pleinement avec Ginger beer et Aperol dans ce cocktail digestif. Attaque douce suivie de notes de chaleureux. Moment d'exception.,"[""50ml Brandy"", ""60ml Ginger beer"", ""25ml Aperol"", ""Rondelle de citron vert"", ""Eau petillante""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir avec rondelle de citron vert,Digestif,Moyen,7,"{""Douceur"": 3.1, ""Acidite"": 1.5, ""Amertume"": 4.5, ""Force"": 4.4, ""Fraicheur"": 3.4}"
The Mystic Passion,"Un cocktail rafraichissant a base de Rhum brun, melange avec Jus de raisin et rehausse de Aperol. Palette aromatique riche en epice et profond. Parfait pour les occasions speciales.","[""45ml Rhum brun"", ""90ml Jus de raisin"", ""15ml Aperol"", ""Baton de cannelle"", ""Glacons""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir selon votre preference,Classic,Facile,4,"{""Douceur"": 2.9, ""Acidite"": 1.6, ""Amertume"": 4.2, ""Force"": 4.5, ""Fraicheur"": 2.4}"
Hong Kong Electric,Cocktail digestif delicat celebrant Cognac dans toute sa splendeur. Jus d'ananas et Sirop simple completent l'ensemble. Profil gustatif marque par raisin et une touche de tropical.,"[""50ml Cognac"", ""45ml Jus d'ananas"", ""30ml Sirop simple"", ""Quartier de pamplemousse"", ""Glacons""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir selon votre preference,Digestif,Moyen,7,"{""Douceur"": 5.0, ""Acidite"": 1.7, ""Amertume"": 2.1, ""Force"": 4.9, ""Fraicheur"": 2.3}"
Dublin Sour,"Ce refreshing complexe combine harmonieusement Vodka et Ginger ale, avec une touche de Sirop simple. Complexite gustative revelant pur puis carbonated. Ideal pour un instant de plaisir.","[""45ml Vodka"", ""60ml Ginger ale"", ""15ml Sirop simple"", ""Zeste de pamplemousse"", ""Glacons""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir avec zeste de pamplemousse,Refreshing,Difficile,7,"{""Douceur"": 4.9, ""Acidite"": 1.5, ""Amertume"": 1.8, ""Force"": 5.0, ""Fraicheur"": 4.4}"
Malibu Sour,"Un sophistique voyage sensoriel avec Brandy comme guide, Jus d'orange comme compagnon et Chartreuse verte comme destination. Bouquet de rond evoluant vers rond.","[""45ml Brandy"", ""60ml Jus d'orange"", ""15ml Chartreuse verte"", ""Feuilles de menthe"", ""Glacons""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir avec feuilles de menthe,Tropical,Moyen,6,"{""Douceur"": 2.9, ""Acidite"": 2.0, ""Amertume"": 2.9, ""Force"": 3.6, ""Fraicheur"": 2.4}"
Hong Kong Smoky,Harmonie elegant entre Cognac vigoureux et Cola delicat. Blue Curacao ajoute la note parfaite. Notes dominantes de fruit sec avec une finale douce. Pour les amateurs de cocktails complexes.,"[""45ml Cognac"", ""90ml Cola"", ""25ml Blue Curacao"", ""Noix de muscade rapee"", ""Angostura bitters""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir selon votre preference,Strong,Facile,5,"{""Douceur"": 5.0, ""Acidite"": 2.1, ""Amertume"": 2.0, ""Force"": 4.6, ""Fraicheur"": 3.7}"
Maui Collins,"Ce cocktail delicat revisite les classiques avec Gin, Ginger beer et Malibu. Bouquet de agrumes evoluant vers carbonated. Une experience sensorielle.","[""45ml Gin"", ""60ml Ginger beer"", ""30ml Malibu"", ""Fleur comestible"", ""Angostura bitters""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Refreshing,Facile,3,"{""Douceur"": 3.5, ""Acidite"": 1.5, ""Amertume"": 3.0, ""Force"": 3.7, ""Fraicheur"": 3.7}"
Malibu Classic,"Ce cocktail intense revisite les classiques avec Whisky irlandais, Nectar de peche et Malibu. Bouquet de cereale evoluant vers cereale. Une experience sensorielle.","[""50ml Whisky irlandais"", ""30ml Nectar de peche"", ""20ml Malibu"", ""Rondelle de citron vert"", ""Glacons""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir avec rondelle de citron vert,Modern,Difficile,6,"{""Douceur"": 4.0, ""Acidite"": 1.5, ""Amertume"": 3.3, ""Force"": 3.6, ""Fraicheur"": 2.4}"
Modern Heaven,"Vodka forme la base de ce cocktail delicat, enrichi par Eau gazeuse et Blue Curacao. Sensation chaleureuse avec des accents de neutre. Une experience unique a chaque gorgee.","[""60ml Vodka"", ""30ml Eau gazeuse"", ""15ml Blue Curacao"", ""Fleur comestible"", ""Glacons"", ""Eau petillante""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir selon votre preference,Modern,Moyen,6,"{""Douceur"": 2.2, ""Acidite"": 1.5, ""Amertume"": 2.6, ""Force"": 4.6, ""Fraicheur"": 4.0}"
Maui Rustic,Laissez-vous seduire par ce audacieux cocktail ou Vodka s'allie au Jus d'ananas. Une pointe de Chartreuse verte revele des saveurs subtiles. Equilibre parfait entre pur et herbes complexes.,"[""60ml Vodka"", ""30ml Jus d'ananas"", ""30ml Chartreuse verte"", ""Tranche d'ananas"", ""Eau petillante""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir avec tranche d'ananas,Tropical,Moyen,6,"{""Douceur"": 3.2, ""Acidite"": 1.6, ""Amertume"": 1.6, ""Force"": 5.0, ""Fraicheur"": 3.2}"
Classic Fog,Un melange rafraichissant et intense de Whisky bourbon avec Jus de tomate. Le Miel liquide ajoute une dimension aromatique. Sensation rafraichissante avec des accents de vanille. Recommande pour les moments de detente.,"[""60ml Whisky bourbon"", ""45ml Jus de tomate"", ""30ml Miel liquide"", ""Olive verte"", ""Glacons""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir selon votre preference,Refreshing,Difficile,7,"{""Douceur"": 4.0, ""Acidite"": 2.4, ""Amertume"": 3.0, ""Force"": 4.2, ""Fraicheur"": 2.1}"
Crisp Night,"Le Pisco prend vie dans ce cocktail digestif, marie au Jus de grenade et sublime par Cointreau. Notes dominantes de fruite avec une finale persistante. Une exotique decouverte.","[""45ml Pisco"", ""45ml Jus de grenade"", ""30ml Cointreau"", ""Quartier de pamplemousse"", ""Glacons""]",1. Placer tous les ingredients dans un blender 2. Ajouter une tasse de glace pilee 3. Mixer jusqu'a obtenir une consistance lisse 4. Verser dans un verre hurricane 5. Garnir selon votre preference,Digestif,Moyen,4,"{""Douceur"": 3.6, ""Acidite"": 2.2, ""Amertume"": 2.1, ""Force"": 3.7, ""Fraicheur"": 2.4}"
Acapulco Royal,Creation harmonieux associant Gin et Jus de grenade avec elegance. Sirop de grenadine complete ce tableau gustatif. Bouquet de herbes evoluant vers grenade. Pour ceux qui aiment surprendre.,"[""50ml Gin"", ""60ml Jus de grenade"", ""25ml Sirop de grenadine"", ""Fleur comestible"", ""Glacons""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir selon votre preference,Modern,Moyen,7,"{""Douceur"": 4.9, ""Acidite"": 2.2, ""Amertume"": 3.0, ""Force"": 3.5, ""Fraicheur"": 1.7}"
Barcelona Collins,Ce cocktail classic met en valeur le Tequila reposado accompagne de Puree de fraise frais. Cointreau apporte une touche d'originalite. Equilibre parfait entre vanille et vanille.,"[""50ml Tequila reposado"", ""60ml Puree de fraise"", ""15ml Cointreau"", ""Rondelle de citron vert"", ""Glacons""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir avec rondelle de citron vert",Classic,Moyen,6,"{""Douceur"": 3.2, ""Acidite"": 1.6, ""Amertume"": 2.0, ""Force"": 4.3, ""Fraicheur"": 2.8}"
Vienna Velvet,Harmonie elegant entre Gin vigoureux et Cola delicat. Amaretto ajoute l'accord ideal. Attaque franche suivie de notes de genievre. Pour les amateurs de experiences uniques.,"[""50ml Gin"", ""60ml Cola"", ""25ml Amaretto"", ""Quartier de pamplemousse"", ""Glacons""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir selon votre preference,Modern,Difficile,8,"{""Douceur"": 4.5, ""Acidite"": 1.8, ""Amertume"": 2.5, ""Force"": 4.5, ""Fraicheur"": 2.9}"
Shanghai Twisted,Une creation convivial ou le Pisco dialogue avec Jus de pomme. Malibu orchestre cette rencontre. Equilibre parfait entre fruite et coco. Emotion subtile garantie.,"[""50ml Pisco"", ""60ml Jus de pomme"", ""15ml Malibu"", ""Branche de romarin"", ""Glacons""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir avec branche de romarin,Tiki,Facile,5,"{""Douceur"": 3.7, ""Acidite"": 1.8, ""Amertume"": 3.2, ""Force"": 3.5, ""Fraicheur"": 3.2}"
The Bitter Bliss,Cocktail strong complexe celebrant Vodka dans toute sa splendeur. Jus de mangue et Benedictine completent l'ensemble. Attaque douce suivie de notes de pur.,"[""50ml Vodka"", ""60ml Jus de mangue"", ""15ml Benedictine"", ""Fleur comestible"", ""Glacons""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Strong,Moyen,3,"{""Douceur"": 3.7, ""Acidite"": 1.5, ""Amertume"": 2.3, ""Force"": 4.2, ""Fraicheur"": 3.2}"
The Secret Heaven,"Le Cognac prend vie dans ce cocktail aperitif, marie au Jus de raisin et sublime par Chartreuse verte. Notes dominantes de fruit sec avec une finale veloutee. Une elegant decouverte.","[""50ml Cognac"", ""90ml Jus de raisin"", ""20ml Chartreuse verte"", ""Quartier de pamplemousse"", ""Glacons""]",1. Ajouter tous les ingredients dans un shaker avec de la glace 2. Shaker energiquement pendant 15 secondes 3. Filtrer dans le verre de service 5. Garnir selon votre preference,Aperitif,Moyen,8,"{""Douceur"": 3.2, ""Acidite"": 1.7, ""Amertume"": 2.5, ""Force"": 4.6, ""Fraicheur"": 3.0}"
The Vintage Twilight,"Ce cocktail equilibre revisite les classiques avec Rhum ambre, Nectar de peche et Creme de menthe. Complexite gustative revelant vanille puis vanille. Une experience sensorielle.","[""50ml Rhum ambre"", ""90ml Nectar de peche"", ""25ml Creme de menthe"", ""Fleur comestible"", ""Glacons""]",1. Combiner les ingredients dans le verre 2. Melanger et servir 5. Garnir selon votre preference,Digestif,Facile,6,"{""Douceur"": 4.7, ""Acidite"": 1.5, ""Amertume"": 3.1, ""Force"": 3.7, ""Fraicheur"": 2.0}"
The Smoky Elixir,"Ce aperitif equilibre combine harmonieusement Rhum ambre et Eau gazeuse, avec une touche de Grand Marnier. Notes dominantes de vanille avec une finale fraiche. Ideal pour un moment de relaxation.","[""60ml Rhum ambre"", ""60ml Eau gazeuse"", ""20ml Grand Marnier"", ""Rondelle d'orange"", ""Sucre de canne""]","1. Dans un shaker, piler delicatement les ingredients frais 2. Ajouter les alcools et la glace 3. Shaker vigoureusement pendant 10 secondes 4. Filtrer dans un verre refroidi 5. Garnir avec rondelle d'orange",Aperitif,Facile,4,"{""Douceur"": 2.7, ""Acidite"": 1.5, ""Amertume"": 2.9, ""Force"": 4.1, ""Fraicheur"": 2.0}"
Havana Smooth,"Le Cognac prend vie dans ce cocktail modern, marie au Jus de tomate et sublime par Sirop de gingembre. Notes dominantes de chene avec une finale persistante. Une audacieux decouverte.","[""50ml Cognac"", ""45ml Jus de tomate"", ""30ml Sirop de gingembre"", ""Rondelle d'orange"", ""Glacons""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir avec rondelle d'orange,Modern,Moyen,4,"{""Douceur"": 3.6, ""Acidite"": 2.2, ""Amertume"": 2.6, ""Force"": 4.5, ""Fraicheur"": 3.5}"
Hong Kong Twisted,"Le Vodka prend vie dans ce cocktail aperitif, marie au Soda et sublime par Sirop d'orgeat. Bouquet de carbonated evoluant vers carbonated. Une audacieux decouverte.","[""45ml Vodka"", ""45ml Soda"", ""15ml Sirop d'orgeat"", ""Lamelle de gingembre"", ""Glacons""]",1. Remplir le verre de glacons 2. Verser les ingredients directement dans le verre 3. Melanger doucement 5. Garnir selon votre preference,Aperitif,Difficile,6,"{""Douceur"": 2.5, ""Acidite"": 1.5, ""Amertume"": 1.9, ""Force"": 3.9, ""Fraicheur"": 4.3}"
Manhattan Aztec,Creation harmonieux associant Brandy et Creme de coco avec elegance. Campari complete ce tableau gustatif. Notes dominantes de rond avec une finale veloutee. Pour ceux qui aiment surprendre.,"[""60ml Brandy"", ""45ml Creme de coco"", ""25ml Campari"", ""Branche de romarin""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir avec branche de romarin,Digestif,Difficile,5,"{""Douceur"": 2.8, ""Acidite"": 1.5, ""Amertume"": 4.4, ""Force"": 3.6, ""Fraicheur"": 2.4}"
Bold Sun,"Un cocktail audacieux a base de Mezcal, melange avec Jus de pomme et rehausse de Campari. Attaque vive suivie de notes de terreux. Parfait pour les afterworks.","[""60ml Mezcal"", ""90ml Jus de pomme"", ""25ml Campari"", ""Branche de romarin"", ""Glacons""]",1. Shaker tous les ingredients sans glace pendant 10 secondes 2. Ajouter la glace et shaker a nouveau 15 secondes 3. Double filtrer dans le verre 5. Garnir avec branche de romarin,Aperitif,Difficile,6,"{""Douceur"": 2.4, ""Acidite"": 1.9, ""Amertume"": 3.6, ""Force"": 4.2, ""Fraicheur"": 3.4}"
Heart de Malibu,"Le Mezcal prend vie dans ce cocktail aperitif, marie au Jus de raisin et sublime par Malibu. Attaque franche suivie de notes de agave. Une exotique decouverte.","[""45ml Mezcal"", ""45ml Jus de raisin"", ""25ml Malibu"", ""Tranche d'ananas"", ""Sel de celeri""]",1. Placer les ingredients dans un verre a melange avec glace 2. Remuer delicatement a la cuillere pendant 30 secondes 3. Filtrer dans un verre refroidi 5. Garnir avec tranche d'ananas,Aperitif,Difficile,6,"{""Douceur"": 3.6, ""Acidite"": 1.6, ""Amertume"": 2.2, ""Force"": 4.6, ""Fraicheur"": 2.4}"
